Issue ID,Summary,Issue Type,Parent ID,Labels,Description
1,"🏗️ Fundação & Infraestrutura Geral (Setup do Monorepo, containers Docker separados para API e Web, Fastify inicial, Nuxt inicial e Drizzle ORM com scripts de migração/seed)",Epic,,,
2,[FOUNDATION-01] Inicializar monorepo,Task,1,Backend,"Criar estrutura api/ + web/ na raiz com workspaces npm, TypeScript compartilhado e Biome."
3,Criar estrutura de pastas api/ e web/,Subtask,2,Backend,
4,Configurar package.json raiz com scripts compartilhados,Subtask,2,Backend,
5,Configurar tsconfig.json raiz com paths,Subtask,2,Backend,
6,Configurar .gitignore e .env.example,Subtask,2,Backend,
7,Configurar Biome na raiz (lint + format),Subtask,2,Backend,
8,Validar compilação em ambos subprojetos,Subtask,2,Backend,
9,[FOUNDATION-02] Configurar Docker Compose,Task,1,Backend,"Criar docker-compose.yml com 4 serviços (db, backend, frontend, evolution-api) + Dockerfiles para api/ e web/."
10,Criar docker-compose.yml com serviços db/backend/frontend/evolution-api,Subtask,9,Backend,
11,Criar Dockerfile para api/ (multi-stage),Subtask,9,Backend,
12,Criar Dockerfile para web/ (multi-stage),Subtask,9,Backend,
13,"Configurar redes, volumes e variáveis de ambiente",Subtask,9,Backend,
14,Validar docker-compose up,Subtask,9,Backend,
15,[FOUNDATION-03] Esqueleto Fastify,Task,1,Backend,"Inicializar projeto Fastify com plugins CORS Cookie Logger, error handler global e health check."
16,Inicializar api/package.json com dependências,Subtask,15,Backend,
17,Criar entry point api/src/index.ts (porta 3001),Subtask,15,Backend,
18,Configurar plugins CORS Cookie Logger,Subtask,15,Backend,
19,Implementar error handler global JSON,Subtask,15,Backend,
20,Adicionar health check GET /api/health,Subtask,15,Backend,
21,Configurar variáveis de ambiente com Zod,Subtask,15,Backend,
22,[FOUNDATION-04] Esqueleto Nuxt 3,Task,1,Frontend,"Inicializar projeto Nuxt 3 com Vuetify, TailwindCSS e routeRules (SSR landing + SPA dashboard)."
23,Inicializar web/package.json com dependências,Subtask,22,Frontend,
24,Configurar nuxt.config.ts com routeRules,Subtask,22,Frontend,
25,Configurar Vuetify 3 com tema customizado,Subtask,22,Frontend,
26,Configurar TailwindCSS para landing page,Subtask,22,Frontend,
27,Validar npm run dev,Subtask,22,Frontend,
28,[FOUNDATION-05] Configurar Drizzle + PostgreSQL + Seed,Task,1,Backend,"postgres.js, drizzle.config, migrations e seed com conta OWNER admin."
29,Configurar postgres.js com prepare:true,Subtask,28,Backend,
